Postal Code,Place Name,State,County,City,Latitude,Longitude
75001,Paris 01 Louvre,le-de-France,Paris,Paris,48.8592,2.3417
75002,Paris 02 Bourse,le-de-France,Paris,Paris,48.8655,2.3426
75003,Paris 03 Temple,le-de-France,Paris,Paris,48.8637,2.3615
75004,Paris 04 Htel-de-Ville,le-de-France,Paris,Paris,48.8601,2.3507
75005,Paris 05 Panthon,le-de-France,Paris,Paris,48.8448,2.3471
75006,Paris 06 Luxembourg,le-de-France,Paris,Paris,48.8493,2.33
75007,Paris 07 Palais-Bourbon,le-de-France,Paris,Paris,48.8565,2.321
75008,Paris 08 lyse,le-de-France,Paris,Paris,48.8763,2.3183
75009,Paris 09 Opra,le-de-France,Paris,Paris,48.8718,2.3399
75010,Paris 10 Entrept,le-de-France,Paris,Paris,48.8709,2.3561
75011,Paris 11 Popincourt,le-de-France,Paris,Paris,48.8574,2.3795
75012,Paris 12 Reuilly,le-de-France,Paris,Paris,48.8412,2.3876
75013,Paris 13 Gobelins,le-de-France,Paris,Paris,48.8322,2.3561
75014,Paris 14 Observatoire,le-de-France,Paris,Paris,48.8331,2.3264
75015,Paris 15 Vaugirard,le-de-France,Paris,Paris,48.8412,2.3003
75016,Paris 16 Passy,le-de-France,Paris,Paris,48.8637,2.2769
75017,Paris 17 Batignolles-Monceau,le-de-France,Paris,Paris,48.8835,2.3219
75018,Paris 18 Buttes-Montmartre,le-de-France,Paris,Paris,48.8925,2.3444
75019,Paris 19 Buttes-Chaumont,le-de-France,Paris,Paris,48.8817,2.3822
75020,Paris 20 Mnilmontant,le-de-France,Paris,Paris,48.8646,2.3984
